Metric,Model,StN Ratio,value
MSE,GHP,0.1,22.38756379988306
MSE,GHP,0.25,3.338480488650318
MSE,GHP,0.5,1.5404487142377417
MSE,GHP,0.75,1.0790151163292463
MSE,GHP,0.9,0.845330267822855
MSE,UnGHP,0.1,78.72154385102824
MSE,UnGHP,0.25,41.51582390968537
MSE,UnGHP,0.5,8.196422596026096
MSE,UnGHP,0.75,2.076010870824541
MSE,UnGHP,0.9,1.0027274460410347
SignalMSE,GHP,0.1,54.89911364887685
SignalMSE,GHP,0.25,29.27716347742993
SignalMSE,GHP,0.5,23.1689947881393
SignalMSE,GHP,0.75,18.90578303675229
SignalMSE,GHP,0.9,17.027048043467328
SignalMSE,UnGHP,0.1,84.02375750377414
SignalMSE,UnGHP,0.25,42.06698590908127
SignalMSE,UnGHP,0.5,23.00838677335975
SignalMSE,UnGHP,0.75,22.219646018590897
SignalMSE,UnGHP,0.9,19.254946792340686
ZeroMSE,GHP,0.1,21.290127518060487
ZeroMSE,GHP,0.25,2.462913130379276
ZeroMSE,GHP,0.5,0.8103712096334694
ZeroMSE,GHP,0.75,0.47726767597741365
ZeroMSE,GHP,0.9,0.29911194628211324
ZeroMSE,UnGHP,0.1,78.54256617498619
ZeroMSE,UnGHP,0.25,41.49721928523319
ZeroMSE,UnGHP,0.5,7.696440682867154
ZeroMSE,UnGHP,0.75,1.3960569417860142
ZeroMSE,UnGHP,0.9,0.38661877612374684
Accuracy,GHP,0.1,0.9673469387755103
Accuracy,GHP,0.25,0.9673469387755103
Accuracy,GHP,0.5,0.9673469387755103
Accuracy,GHP,0.75,0.9681632653061224
Accuracy,GHP,0.9,0.9706122448979592
Accuracy,UnGHP,0.1,0.9624489795918367
Accuracy,UnGHP,0.25,0.9379591836734694
Accuracy,UnGHP,0.5,0.9657142857142857
Accuracy,UnGHP,0.75,0.9673469387755103
Accuracy,UnGHP,0.9,0.9657142857142857
Sensitivity,GHP,0.1,0
Sensitivity,GHP,0.25,0
Sensitivity,GHP,0.5,0
Sensitivity,GHP,0.75,0.025
Sensitivity,GHP,0.9,0.1
Sensitivity,UnGHP,0.1,0.025
Sensitivity,UnGHP,0.25,0.05
Sensitivity,UnGHP,0.5,0
Sensitivity,UnGHP,0.75,0
Sensitivity,UnGHP,0.9,0
Specificity,GHP,0.1,1
Specificity,GHP,0.25,1
Specificity,GHP,0.5,1
Specificity,GHP,0.75,1
Specificity,GHP,0.9,1
Specificity,UnGHP,0.1,0.9940928270042194
Specificity,UnGHP,0.25,0.9679324894514768
Specificity,UnGHP,0.5,0.9983122362869198
Specificity,UnGHP,0.75,1
Specificity,UnGHP,0.9,0.9983122362869198
Prediction Error,GHP,0.1,82044.85475036257
Prediction Error,GHP,0.25,37624.97926608801
Prediction Error,GHP,0.5,13539.329878540959
Prediction Error,GHP,0.75,3669.9953517017525
Prediction Error,GHP,0.9,922.597231911076
Prediction Error,UnGHP,0.1,4334.801341421617
Prediction Error,UnGHP,0.25,566.741356402215
Prediction Error,UnGHP,0.5,3738.999288405034
Prediction Error,UnGHP,0.75,3828.530091844091
Prediction Error,UnGHP,0.9,888.5234444618042
MSE,GroupBoosting,0.1,10.15880254254634
ZeroMSE,GroupBoosting,0.1,9.619292876633686
SignalMSE,GroupBoosting,0.1,26.141776395208684
Accuracy,GroupBoosting,0.1,0.963265306122449
Sensitivity,GroupBoosting,0.1,0
Specificity,GroupBoosting,0.1,0.9957805907172996
MSE,GroupBoosting,0.25,8.329679915587898
ZeroMSE,GroupBoosting,0.25,2.6046382692038064
SignalMSE,GroupBoosting,0.25,177.93403868971657
Accuracy,GroupBoosting,0.25,0.9657142857142857
Sensitivity,GroupBoosting,0.25,0.075
Specificity,GroupBoosting,0.25,0.9957805907172996
MSE,GroupBoosting,0.5,5.008365306862055
ZeroMSE,GroupBoosting,0.5,2.094865842738173
SignalMSE,GroupBoosting,0.5,91.32078693153206
Accuracy,GroupBoosting,0.5,0.966530612244898
Sensitivity,GroupBoosting,0.5,0.125
Specificity,GroupBoosting,0.5,0.9949367088607595
MSE,GroupBoosting,0.75,2.8663664668783806
ZeroMSE,GroupBoosting,0.75,1.251097738692358
SignalMSE,GroupBoosting,0.75,50.718702539389305
Accuracy,GroupBoosting,0.75,0.9673469387755103
Sensitivity,GroupBoosting,0.75,0.275
Specificity,GroupBoosting,0.75,0.9907172995780591
MSE,GroupBoosting,0.9,1.578011269443654
ZeroMSE,GroupBoosting,0.9,0.6237964463385658
SignalMSE,GroupBoosting,0.9,29.8466254039319
Accuracy,GroupBoosting,0.9,0.9706122448979592
Sensitivity,GroupBoosting,0.9,0.475
Specificity,GroupBoosting,0.9,0.9873417721518988
