Metric,Model,N,value
MSE,GHP,100,4.171821635652536
MSE,GHP,500,4.102524827536578
MSE,GHP,1000,1.2681602559435208
MSE,GHP,2500,1.03038541069966
MSE,GHP,5000,0.845051105095347
MSE,UnGHP,100,4.711289901952073
MSE,UnGHP,500,4.555729120537148
MSE,UnGHP,1000,1.3716689789608791
MSE,UnGHP,2500,1.1901834350124658
MSE,UnGHP,5000,1.324770436726307
SignalMSE,GHP,100,21.607782975351537
SignalMSE,GHP,500,18.828023058522888
SignalMSE,GHP,1000,18.220149292388978
SignalMSE,GHP,2500,11.714930047266211
SignalMSE,GHP,5000,12.001907997907598
SignalMSE,UnGHP,100,56.56118118410318
SignalMSE,UnGHP,500,27.411507985294435
SignalMSE,UnGHP,1000,20.81103445001395
SignalMSE,UnGHP,2500,19.16102666151907
SignalMSE,UnGHP,5000,17.95879371583714
ZeroMSE,GHP,100,3.506890906596218
ZeroMSE,GHP,500,3.540959217032863
ZeroMSE,GHP,1000,0.6216860977739906
ZeroMSE,GHP,2500,0.6229239626950032
ZeroMSE,GHP,5000,0.41957774901352407
ZeroMSE,UnGHP,100,2.733963539497158
ZeroMSE,UnGHP,500,3.6841104350167426
ZeroMSE,UnGHP,1000,0.6303372448952959
ZeroMSE,UnGHP,2500,0.5048546678999256
ZeroMSE,UnGHP,5000,0.690422091336487
Accuracy,GHP,100,0.963265306122449
Accuracy,GHP,500,0.963265306122449
Accuracy,GHP,1000,0.963265306122449
Accuracy,GHP,2500,0.963265306122449
Accuracy,GHP,5000,0.963265306122449
Accuracy,UnGHP,100,0.963265306122449
Accuracy,UnGHP,500,0.963265306122449
Accuracy,UnGHP,1000,0.963265306122449
Accuracy,UnGHP,2500,0.963265306122449
Accuracy,UnGHP,5000,0.963265306122449
Sensitivity,GHP,100,0
Sensitivity,GHP,500,0
Sensitivity,GHP,1000,0
Sensitivity,GHP,2500,0
Sensitivity,GHP,5000,0
Sensitivity,UnGHP,100,0
Sensitivity,UnGHP,500,0
Sensitivity,UnGHP,1000,0
Sensitivity,UnGHP,2500,0
Sensitivity,UnGHP,5000,0
Specificity,GHP,100,1
Specificity,GHP,500,1
Specificity,GHP,1000,1
Specificity,GHP,2500,1
Specificity,GHP,5000,1
Specificity,UnGHP,100,1
Specificity,UnGHP,500,1
Specificity,UnGHP,1000,1
Specificity,UnGHP,2500,1
Specificity,UnGHP,5000,1
Prediction Error,GHP,100,41469.211820441924
Prediction Error,GHP,500,60927.14283222687
Prediction Error,GHP,1000,64961.094385902645
Prediction Error,GHP,2500,69562.20735235942
Prediction Error,GHP,5000,68756.58470463612
Prediction Error,UnGHP,100,27530.357539625093
Prediction Error,UnGHP,500,60376.68900882341
Prediction Error,UnGHP,1000,64509.92967100366
Prediction Error,UnGHP,2500,69467.34729960146
Prediction Error,UnGHP,5000,68053.74873575325
MSE,GroupBoosting,100,11.369991090256628
ZeroMSE,GroupBoosting,100,10.915271792750024
SignalMSE,GroupBoosting,100,23.29374155820758
Accuracy,GroupBoosting,100,0.953469387755102
Sensitivity,GroupBoosting,100,0
Specificity,GroupBoosting,100,0.9898305084745763
MSE,GroupBoosting,500,3.4269320775179493
ZeroMSE,GroupBoosting,500,2.4178782995532626
SignalMSE,GroupBoosting,500,29.886564477480846
Accuracy,GroupBoosting,500,0.9542857142857143
Sensitivity,GroupBoosting,500,0.2
Specificity,GroupBoosting,500,0.9830508474576272
MSE,GroupBoosting,1000,1.9656938811984408
ZeroMSE,GroupBoosting,1000,0.8522240078779145
SignalMSE,GroupBoosting,1000,31.163348337158904
Accuracy,GroupBoosting,1000,0.9673469387755103
Sensitivity,GroupBoosting,1000,0.37777777777777777
Specificity,GroupBoosting,1000,0.9898305084745763
MSE,GroupBoosting,2500,1.6858640575091328
ZeroMSE,GroupBoosting,2500,1.0808431009969244
SignalMSE,GroupBoosting,2500,17.55085802827371
Accuracy,GroupBoosting,2500,0.9681632653061224
Sensitivity,GroupBoosting,2500,0.4666666666666667
Specificity,GroupBoosting,2500,0.9872881355932204
