Metric,Model,StN Ratio,value
MSE,GHP,0.1,0.2230643178276491
MSE,GHP,0.2,0.05076949868940554
MSE,GHP,0.3,0.13113187895016312
MSE,GHP,0.4,0.050631549759624805
MSE,GHP,0.5,0.06728277928144859
MSE,GHP,0.6,0.027371194982930558
MSE,GHP,0.7,0.01295146068482798
MSE,GHP,0.8,0.015148228941880155
MSE,GHP,0.9,0.006054625555329206
MSE,LM,0.1,NA
MSE,LM,0.2,NA
MSE,LM,0.3,NA
MSE,LM,0.4,NA
MSE,LM,0.5,NA
MSE,LM,0.6,NA
MSE,LM,0.7,NA
MSE,LM,0.8,NA
MSE,LM,0.9,NA
MSE,LASSO,0.1,2.085893385905894
MSE,LASSO,0.2,1.1225155822312645
MSE,LASSO,0.3,0.7958577076073499
MSE,LASSO,0.4,0.45363478225648723
MSE,LASSO,0.5,0.24151966811840633
MSE,LASSO,0.6,0.1846130865198494
MSE,LASSO,0.7,0.11235728497731808
MSE,LASSO,0.8,0.09525435507637761
MSE,LASSO,0.9,0.03006632354272237
MSE,UnGHP,0.1,0.14761692813432023
MSE,UnGHP,0.2,0.058698451297940414
MSE,UnGHP,0.3,0.10847856686044345
MSE,UnGHP,0.4,0.06755180532685791
MSE,UnGHP,0.5,0.05766528681022702
MSE,UnGHP,0.6,0.04444016069052072
MSE,UnGHP,0.7,0.03883006530913751
MSE,UnGHP,0.8,0.02778468461919751
MSE,UnGHP,0.9,0.007007506904995373
Accuracy,GHP,0.1,0.9956756756756757
Accuracy,GHP,0.2,0.9956756756756757
Accuracy,GHP,0.3,0.9956756756756757
Accuracy,GHP,0.4,0.9956756756756757
Accuracy,GHP,0.5,0.9960360360360361
Accuracy,GHP,0.6,0.9956756756756757
Accuracy,GHP,0.7,0.9978378378378379
Accuracy,GHP,0.8,0.9981981981981982
Accuracy,GHP,0.9,0.9992792792792793
Accuracy,LM,0.1,0.9956756756756757
Accuracy,LM,0.2,0.9956756756756757
Accuracy,LM,0.3,0.9956756756756757
Accuracy,LM,0.4,0.9956756756756757
Accuracy,LM,0.5,0.9956756756756757
Accuracy,LM,0.6,0.9956756756756757
Accuracy,LM,0.7,0.9956756756756757
Accuracy,LM,0.8,0.9956756756756757
Accuracy,LM,0.9,0.9956756756756757
Accuracy,LASSO,0.1,0.7625225225225225
Accuracy,LASSO,0.2,0.7758558558558558
Accuracy,LASSO,0.3,0.805045045045045
Accuracy,LASSO,0.4,0.809009009009009
Accuracy,LASSO,0.5,0.8252252252252252
Accuracy,LASSO,0.6,0.825945945945946
Accuracy,LASSO,0.7,0.8320720720720721
Accuracy,LASSO,0.8,0.8317117117117118
Accuracy,LASSO,0.9,0.849009009009009
Accuracy,UnGHP,0.1,0.9956756756756757
Accuracy,UnGHP,0.2,0.9956756756756757
