Metric,Model,StN Ratio,value
MSE,GHP,V1,0.33115386865351354
MSE,GHP,V2,0.20491784758919374
MSE,GHP,V3,0.05707274832507093
MSE,GHP,V4,0.012337173538213429
MSE,GHP,V5,0.005737702888666745
MSE,LM,V1,5.857429118574165
MSE,LM,V2,2.71837533861047
MSE,LM,V3,1.0030142388472627
MSE,LM,V4,0.2850576234576494
MSE,LM,V5,0.0845337199436976
MSE,LASSO,V1,4.855360319032047
MSE,LASSO,V2,2.072976060529654
MSE,LASSO,V3,0.6132569951447071
MSE,LASSO,V4,0.12028524056184992
MSE,LASSO,V5,0.01911314451736555
MSE,UnGHP,V1,0.3090616288682813
MSE,UnGHP,V2,0.32950079102432894
MSE,UnGHP,V3,0.11643104966597215
MSE,UnGHP,V4,0.021374787843432337
MSE,UnGHP,V5,0.0058904642163502205
Accuracy,GHP,V1,0.9578947368421052
Accuracy,GHP,V2,0.968421052631579
Accuracy,GHP,V3,0.9947368421052631
Accuracy,GHP,V4,0.9947368421052631
Accuracy,GHP,V5,0.9947368421052631
Accuracy,LM,V1,0.9263157894736842
Accuracy,LM,V2,0.9473684210526315
Accuracy,LM,V3,0.9105263157894737
Accuracy,LM,V4,0.9368421052631579
Accuracy,LM,V5,0.9631578947368421
Accuracy,LASSO,V1,0.08947368421052632
Accuracy,LASSO,V2,0.14210526315789473
Accuracy,LASSO,V3,0.21578947368421053
Accuracy,LASSO,V4,0.3684210526315789
Accuracy,LASSO,V5,0.5421052631578948
Accuracy,UnGHP,V1,0.9578947368421052
Accuracy,UnGHP,V2,0.9631578947368421
Accuracy,UnGHP,V3,0.9894736842105263
Accuracy,UnGHP,V4,0.9947368421052631
Accuracy,UnGHP,V5,0.9947368421052631
Sensitivity,GHP,V1,0
Sensitivity,GHP,V2,0.25
Sensitivity,GHP,V3,0.875
Sensitivity,GHP,V4,0.875
Sensitivity,GHP,V5,1
Sensitivity,LM,V1,0.25
Sensitivity,LM,V2,0.375
Sensitivity,LM,V3,0.875
Sensitivity,LM,V4,1
Sensitivity,LM,V5,1
Sensitivity,LASSO,V1,0.75
Sensitivity,LASSO,V2,1
Sensitivity,LASSO,V3,0.875
Sensitivity,LASSO,V4,0.875
Sensitivity,LASSO,V5,0.75
Sensitivity,UnGHP,V1,0
Sensitivity,UnGHP,V2,0.125
Sensitivity,UnGHP,V3,0.75
Sensitivity,UnGHP,V4,0.875
Sensitivity,UnGHP,V5,1
Specificity,GHP,V1,1
Specificity,GHP,V2,1
Specificity,GHP,V3,1
Specificity,GHP,V4,1
Specificity,GHP,V5,0.9945054945054945
Specificity,LM,V1,0.9560439560439561
Specificity,LM,V2,0.9725274725274725
Specificity,LM,V3,0.9120879120879121
Specificity,LM,V4,0.9340659340659341
Specificity,LM,V5,0.9615384615384616
Specificity,LASSO,V1,0.06043956043956044
Specificity,LASSO,V2,0.1043956043956044
Specificity,LASSO,V3,0.18681318681318682
Specificity,LASSO,V4,0.34615384615384615
Specificity,LASSO,V5,0.532967032967033
Specificity,UnGHP,V1,1
Specificity,UnGHP,V2,1
Specificity,UnGHP,V3,1
Specificity,UnGHP,V4,1
Specificity,UnGHP,V5,0.9945054945054945
Prediction Error,GHP,V1,2590.7584298528423
Prediction Error,GHP,V2,1192.637364553489
Prediction Error,GHP,V3,316.0294939074984
Prediction Error,GHP,V4,104.5226012050626
Prediction Error,GHP,V5,37.85649004796385
Prediction Error,LM,V1,2150.1257280395444
Prediction Error,LM,V2,1028.8676501769007
Prediction Error,LM,V3,260.1719412563417
Prediction Error,LM,V4,87.05010832932669
Prediction Error,LM,V5,32.96097412573911
Prediction Error,LASSO,V1,2155.545746928101
Prediction Error,LASSO,V2,1033.5084589802188
Prediction Error,LASSO,V3,264.58316360210966
Prediction Error,LASSO,V4,90.66641420644987
Prediction Error,LASSO,V5,35.724792910560446
Prediction Error,UnGHP,V1,2569.2416179157362
Prediction Error,UnGHP,V2,1203.7832751300125
Prediction Error,UnGHP,V3,301.54785703307147
Prediction Error,UnGHP,V4,102.02337016022645
Prediction Error,UnGHP,V5,37.53852575034448
